SalesOrderID;SalesOrderDetailID;OrderQty;ProductID;UnitPrice;UnitPriceDiscount;LineTotal
43661;15;1;745;809,76;0,00;809.760000
43661;16;1;743;714,7043;0,00;714.704300
43661;17;2;747;714,7043;0,00;1429.408600
43661;18;4;712;5,1865;0,00;20.746000
43661;19;4;715;28,8404;0,00;115.361600
43661;20;2;742;722,5949;0,00;1445.189800
43661;21;3;775;2024,994;0,00;6074.982000
43661;22;2;778;2024,994;0,00;4049.988000
43661;23;2;711;20,1865;0,00;40.373000
43661;24;2;741;818,70;0,00;1637.400000
43661;25;4;776;2024,994;0,00;8099.976000
43661;26;2;773;2039,994;0,00;4079.988000
43661;27;2;716;28,8404;0,00;57.680800
43661;28;2;777;2024,994;0,00;4049.988000
43661;29;5;708;20,1865;0,00;100.932500
43662;30;3;764;419,4589;0,00;1258.376700
43662;31;5;770;419,4589;0,00;2097.294500
43662;32;2;730;183,9382;0,00;367.876400
43662;33;4;754;874,794;0,00;3499.176000
43662;34;3;725;183,9382;0,00;551.814600
43662;35;5;762;419,4589;0,00;2097.294500
43662;36;3;765;419,4589;0,00;1258.376700
43662;37;2;768;419,4589;0,00;838.917800
43662;38;1;753;2146,962;0,00;2146.962000
43662;39;1;756;874,794;0,00;874.794000
43662;40;3;763;419,4589;0,00;1258.376700
43662;41;1;732;356,898;0,00;356.898000
43662;42;6;758;874,794;0,00;5248.764000
43662;43;1;729;183,9382;0,00;183.938200
43662;44;3;722;178,5808;0,00;535.742400
43662;45;1;749;2146,962;0,00;2146.962000
43662;46;3;760;419,4589;0,00;1258.376700
43662;47;1;726;183,9382;0,00;183.938200
43662;48;1;733;356,898;0,00;356.898000
43662;49;1;738;178,5808;0,00;178.580800
43662;50;3;766;419,4589;0,00;1258.376700
43662;51;1;755;874,794;0,00;874.794000
43668;81;3;756;874,794;0,00;2624.382000
43668;82;2;753;2146,962;0,00;4293.924000
43668;83;7;760;419,4589;0,00;2936.212300
43668;84;6;765;419,4589;0,00;2516.753400
43668;85;6;715;28,8404;0,00;173.042400
43668;86;6;730;183,9382;0,00;1103.629200
43668;87;2;707;20,1865;0,00;40.373000
43668;88;2;711;20,1865;0,00;40.373000
43668;89;2;754;874,794;0,00;1749.588000
43668;90;4;712;5,1865;0,00;20.746000
43668;91;2;729;183,9382;0,00;367.876400
43668;92;3;755;874,794;0,00;2624.382000
43668;93;3;761;419,4589;0,00;1258.376700
43668;94;2;770;419,4589;0,00;838.917800
43668;95;3;726;183,9382;0,00;551.814600
43668;96;2;764;419,4589;0,00;838.917800
43668;97;2;766;419,4589;0,00;838.917800
43668;98;2;725;183,9382;0,00;367.876400
43668;99;1;716;28,8404;0,00;28.840400
43668;100;2;768;419,4589;0,00;838.917800
43668;101;4;732;356,898;0,00;1427.592000
43668;102;6;758;874,794;0,00;5248.764000
43668;103;4;762;419,4589;0,00;1677.835600
43668;104;3;738;178,5808;0,00;535.742400
43668;105;4;714;28,8404;0,00;115.361600
43668;106;3;722;178,5808;0,00;535.742400
43668;107;1;708;20,1865;0,00;20.186500
43668;108;3;733;356,898;0,00;1070.694000
43668;109;3;763;419,4589;0,00;1258.376700
43672;126;6;709;5,70;0,00;34.200000
43672;127;2;776;2024,994;0,00;4049.988000
43672;128;1;774;2039,994;0,00;2039.994000
43674;140;3;758;874,794;0,00;2624.382000
43677;155;3;715;28,8404;0,00;86.521200
43677;156;1;753;2146,962;0,00;2146.962000
43677;157;1;758;874,794;0,00;874.794000
43677;158;1;770;419,4589;0,00;419.458900
43677;159;2;708;20,1865;0,00;40.373000
43677;160;4;760;419,4589;0,00;1677.835600
43677;161;2;765;419,4589;0,00;838.917800
43677;162;1;763;419,4589;0,00;419.458900
43677;163;5;712;5,1865;0,00;25.932500
43677;164;1;707;20,1865;0,00;20.186500
43677;165;1;754;874,794;0,00;874.794000
43677;166;2;729;183,9382;0,00;367.876400
43679;186;1;760;419,4589;0,00;419.458900
43679;187;2;770;419,4589;0,00;838.917800
43679;188;2;715;28,8404;0,00;57.680800
43844;509;4;775;2024,994;0,00;8099.976000
43844;510;2;776;2024,994;0,00;4049.988000
43844;511;3;777;2024,994;0,00;6074.982000
43844;512;1;778;2024,994;0,00;2024.994000
43846;523;3;729;183,9382;0,00;551.814600
43846;524;1;712;5,1865;0,00;5.186500
43846;525;1;738;178,5808;0,00;178.580800
43846;526;1;725;183,9382;0,00;183.938200
43847;527;1;715;28,8404;0,00;28.840400
43847;528;1;712;5,1865;0,00;5.186500
43847;529;1;758;874,794;0,00;874.794000
43850;546;1;765;419,4589;0,00;419.458900
43850;547;1;755;874,794;0,00;874.794000
43850;548;1;761;419,4589;0,00;419.458900
43850;549;2;762;419,4589;0,00;838.917800
43850;550;1;753;2146,962;0,00;2146.962000
43850;551;3;725;183,9382;0,00;551.814600
43850;552;1;729;183,9382;0,00;183.938200
43850;553;3;758;874,794;0,00;2624.382000
43850;554;1;756;874,794;0,00;874.794000
43850;555;3;732;356,898;0,00;1070.694000
43850;556;1;738;178,5808;0,00;178.580800
43852;569;1;776;2024,994;0,00;2024.994000
43853;570;2;777;2024,994;0,00;4049.988000
43853;571;1;773;2039,994;0,00;2039.994000
43853;572;1;771;2039,994;0,00;2039.994000
43853;573;4;776;2024,994;0,00;8099.976000
43853;574;2;775;2024,994;0,00;4049.988000
43853;575;3;778;2024,994;0,00;6074.982000
43854;576;2;758;874,794;0,00;1749.588000
43855;577;2;765;419,4589;0,00;838.917800
43855;578;2;760;419,4589;0,00;838.917800
43855;579;1;753;2146,962;0,00;2146.962000
43855;580;4;761;419,4589;0,00;1677.835600
43855;581;1;738;178,5808;0,00;178.580800
43855;582;3;762;419,4589;0,00;1258.376700
43855;583;2;732;356,898;0,00;713.796000
43855;584;1;766;419,4589;0,00;419.458900
43855;585;1;726;183,9382;0,00;183.938200
43855;586;2;770;419,4589;0,00;838.917800
43855;587;1;725;183,9382;0,00;183.938200
43855;588;1;755;874,794;0,00;874.794000
43855;589;2;768;419,4589;0,00;838.917800
43856;590;2;709;5,70;0,00;11.400000
43856;591;1;777;2024,994;0,00;2024.994000
43857;592;1;760;419,4589;0,00;419.458900
43857;593;1;765;419,4589;0,00;419.458900
43857;594;2;762;419,4589;0,00;838.917800
43857;595;3;758;874,794;0,00;2624.382000
43857;596;1;715;28,8404;0,00;28.840400
43857;597;3;712;5,1865;0,00;15.559500
43857;598;1;716;28,8404;0,00;28.840400
43857;599;1;725;183,9382;0,00;183.938200
43857;600;2;711;20,1865;0,00;40.373000
43857;601;1;708;20,1865;0,00;20.186500
43857;602;2;738;178,5808;0,00;357.161600
43857;603;1;763;419,4589;0,00;419.458900
43857;604;2;754;874,794;0,00;1749.588000
43857;605;2;707;20,1865;0,00;40.373000
43868;719;1;749;2146,962;0,00;2146.962000
43879;835;3;762;419,4589;0,00;1258.376700
43879;836;2;763;419,4589;0,00;838.917800
43879;837;3;760;419,4589;0,00;1258.376700
43879;838;2;764;419,4589;0,00;838.917800
43879;839;2;715;28,8404;0,00;57.680800
43879;840;4;725;183,9382;0,00;735.752800
43879;841;4;714;28,8404;0,00;115.361600
43879;842;4;770;419,4589;0,00;1677.835600
43879;843;3;730;183,9382;0,00;551.814600
43879;844;2;754;874,794;0,00;1749.588000
43879;845;2;726;183,9382;0,00;367.876400
43879;846;1;716;28,8404;0,00;28.840400
43879;847;2;766;419,4589;0,00;838.917800
43879;848;3;765;419,4589;0,00;1258.376700
43879;849;3;729;183,9382;0,00;551.814600
43879;850;1;768;419,4589;0,00;419.458900
43879;851;5;708;20,1865;0,00;100.932500
43879;852;3;758;874,794;0,00;2624.382000
43879;853;1;756;874,794;0,00;874.794000
43879;854;3;738;178,5808;0,00;535.742400
43879;855;2;755;874,794;0,00;1749.588000
43879;856;4;707;20,1865;0,00;80.746000
43879;857;5;711;20,1865;0,00;100.932500
43879;858;5;722;178,5808;0,00;892.904000
43879;859;1;753;2146,962;0,00;2146.962000
43879;860;13;712;5,0136;0,02;63.873264
43880;861;3;760;419,4589;0,00;1258.376700
43880;862;2;755;874,794;0,00;1749.588000
43880;863;3;762;419,4589;0,00;1258.376700
43880;864;3;770;419,4589;0,00;1258.376700
43880;865;1;766;419,4589;0,00;419.458900
43880;866;1;738;178,5808;0,00;178.580800
43880;867;1;732;356,898;0,00;356.898000
43880;868;2;753;2146,962;0,00;4293.924000
43880;869;2;756;874,794;0,00;1749.588000
43880;870;2;725;183,9382;0,00;367.876400
43880;871;2;758;874,794;0,00;1749.588000
43880;872;1;764;419,4589;0,00;419.458900
43880;873;1;768;419,4589;0,00;419.458900
43882;882;1;778;2024,994;0,00;2024.994000
43886;924;2;754;874,794;0,00;1749.588000
43886;925;1;763;419,4589;0,00;419.458900
43886;926;2;726;183,9382;0,00;367.876400
43886;927;1;768;419,4589;0,00;419.458900
43886;928;2;756;874,794;0,00;1749.588000
43886;929;3;711;20,1865;0,00;60.559500
43886;930;6;712;5,1865;0,00;31.119000
43886;931;1;708;20,1865;0,00;20.186500
43886;932;2;758;874,794;0,00;1749.588000
43886;933;2;770;419,4589;0,00;838.917800
43886;934;5;760;419,4589;0,00;2097.294500
43886;935;1;733;356,898;0,00;356.898000
43886;936;1;716;28,8404;0,00;28.840400
43886;937;1;730;183,9382;0,00;183.938200
43886;938;1;755;874,794;0,00;874.794000
43886;939;1;722;178,5808;0,00;178.580800
43886;940;5;714;28,8404;0,00;144.202000
43886;941;1;766;419,4589;0,00;419.458900
43886;942;3;762;419,4589;0,00;1258.376700
43886;943;2;753;2146,962;0,00;4293.924000
43886;944;4;715;28,8404;0,00;115.361600
43888;946;1;764;419,4589;0,00;419.458900
43888;947;1;755;874,794;0,00;874.794000
43888;948;2;738;178,5808;0,00;357.161600
43888;949;1;725;183,9382;0,00;183.938200
43888;950;1;768;419,4589;0,00;419.458900
43888;951;2;760;419,4589;0,00;838.917800
43888;952;1;753;2146,962;0,00;2146.962000
43888;953;2;756;874,794;0,00;1749.588000
43888;954;5;754;874,794;0,00;4373.970000
43888;955;2;770;419,4589;0,00;838.917800
43888;956;2;730;183,9382;0,00;367.876400
43888;957;2;763;419,4589;0,00;838.917800
43888;958;2;765;419,4589;0,00;838.917800
43888;959;1;726;183,9382;0,00;183.938200
43889;960;1;778;2024,994;0,00;2024.994000
43889;961;2;716;28,8404;0,00;57.680800
43890;962;5;771;2039,994;0,00;10199.970000
43890;963;2;777;2024,994;0,00;4049.988000
43890;964;7;773;2039,994;0,00;14279.958000
43890;965;2;774;2039,994;0,00;4079.988000
