SalesOrderID;OrderDate;DueDate;ShipDate;CustomerID;SalesPersonID;TerritoryID;Freight;TotalDue;OrderYear;OrderMonth
43661;2011-05-31 00:00:00.000;2011-06-12 00:00:00.000;2011-06-07 00:00:00.000;29734;282;6;985,553;36865,8012;2011;5
43662;2011-05-31 00:00:00.000;2011-06-12 00:00:00.000;2011-06-07 00:00:00.000;29994;282;6;867,2389;32474,9324;2011;5
43668;2011-05-31 00:00:00.000;2011-06-12 00:00:00.000;2011-06-07 00:00:00.000;29614;282;6;1081,8017;40487,7233;2011;5
43672;2011-05-31 00:00:00.000;2011-06-12 00:00:00.000;2011-06-07 00:00:00.000;30067;282;6;183,6257;6895,41;2011;5
43674;2011-05-31 00:00:00.000;2011-06-12 00:00:00.000;2011-06-07 00:00:00.000;29596;282;6;78,7315;2955,0542;2011;5
43677;2011-05-31 00:00:00.000;2011-06-12 00:00:00.000;2011-06-07 00:00:00.000;29824;278;6;233,4691;8773,681;2011;5
43679;2011-05-31 00:00:00.000;2011-06-12 00:00:00.000;2011-06-07 00:00:00.000;29761;278;6;39,3135;1481,1742;2011;5
43844;2011-07-01 00:00:00.000;2011-07-13 00:00:00.000;2011-07-08 00:00:00.000;29620;282;6;607,4982;22801,4324;2011;7
43846;2011-07-01 00:00:00.000;2011-07-13 00:00:00.000;2011-07-08 00:00:00.000;29548;278;6;28,3324;1038,5162;2011;7
43847;2011-07-01 00:00:00.000;2011-07-13 00:00:00.000;2011-07-08 00:00:00.000;29539;278;6;27,1654;1022,9155;2011;7
43850;2011-07-01 00:00:00.000;2011-07-13 00:00:00.000;2011-07-08 00:00:00.000;29892;282;6;307,168;11473,9009;2011;7
43852;2011-07-01 00:00:00.000;2011-07-13 00:00:00.000;2011-07-08 00:00:00.000;29855;282;6;60,7498;2280,1432;2011;7
43853;2011-07-01 00:00:00.000;2011-07-13 00:00:00.000;2011-07-08 00:00:00.000;29813;282;6;790,6477;29675,6422;2011;7
43854;2011-07-01 00:00:00.000;2011-07-13 00:00:00.000;2011-07-08 00:00:00.000;29988;282;6;52,4876;1970,036;2011;7
43855;2011-07-01 00:00:00.000;2011-07-13 00:00:00.000;2011-07-08 00:00:00.000;29946;278;6;330,8508;12382,9248;2011;7
43856;2011-07-01 00:00:00.000;2011-07-13 00:00:00.000;2011-07-08 00:00:00.000;29680;282;6;61,0586;2292,84;2011;7
43857;2011-07-01 00:00:00.000;2011-07-13 00:00:00.000;2011-07-08 00:00:00.000;30074;282;6;215,3287;8090,9178;2011;7
43868;2011-07-01 00:00:00.000;2011-07-13 00:00:00.000;2011-07-08 00:00:00.000;30042;282;6;64,4089;2417,4793;2011;7
43879;2011-07-01 00:00:00.000;2011-07-13 00:00:00.000;2011-07-08 00:00:00.000;29510;282;6;652,4643;24459,114;2011;7
43880;2011-07-01 00:00:00.000;2011-07-13 00:00:00.000;2011-07-08 00:00:00.000;29789;278;6;465,1393;17433,1351;2011;7
43882;2011-07-01 00:00:00.000;2011-07-13 00:00:00.000;2011-07-08 00:00:00.000;29558;282;6;60,7498;2280,1432;2011;7
43886;2011-07-01 00:00:00.000;2011-07-13 00:00:00.000;2011-07-08 00:00:00.000;29698;282;6;520,3107;19543,315;2011;7
43888;2011-07-01 00:00:00.000;2011-07-13 00:00:00.000;2011-07-08 00:00:00.000;29794;282;6;433,8953;16255,1776;2011;7
43889;2011-07-01 00:00:00.000;2011-07-13 00:00:00.000;2011-07-08 00:00:00.000;29830;278;6;62,312;2344,3852;2011;7
43890;2011-07-01 00:00:00.000;2011-07-13 00:00:00.000;2011-07-08 00:00:00.000;29515;278;6;2260,7209;84686,9878;2011;7
43891;2011-07-01 00:00:00.000;2011-07-13 00:00:00.000;2011-07-08 00:00:00.000;29807;282;6;976,9734;36672,3922;2011;7
43893;2011-07-01 00:00:00.000;2011-07-13 00:00:00.000;2011-07-08 00:00:00.000;29905;282;6;12,5838;472,3108;2011;7
43898;2011-07-01 00:00:00.000;2011-07-13 00:00:00.000;2011-07-08 00:00:00.000;29705;278;6;1533,9315;57391,4284;2011;7
44077;2011-08-01 00:00:00.000;2011-08-13 00:00:00.000;2011-08-08 00:00:00.000;29714;282;6;182,773;6872,9758;2011;8
44081;2011-08-01 00:00:00.000;2011-08-13 00:00:00.000;2011-08-08 00:00:00.000;29950;282;6;1128,6131;42277,1383;2011;8
44082;2011-08-01 00:00:00.000;2011-08-13 00:00:00.000;2011-08-08 00:00:00.000;29803;274;6;61,1998;2297,0332;2011;8
44083;2011-08-01 00:00:00.000;2011-08-13 00:00:00.000;2011-08-08 00:00:00.000;29969;278;6;40,6707;1533,1237;2011;8
44084;2011-08-01 00:00:00.000;2011-08-13 00:00:00.000;2011-08-08 00:00:00.000;29494;282;6;243,8993;9154,353;2011;8
44085;2011-08-01 00:00:00.000;2011-08-13 00:00:00.000;2011-08-08 00:00:00.000;29639;282;6;619,1468;23244,6509;2011;8
44086;2011-08-01 00:00:00.000;2011-08-13 00:00:00.000;2011-08-08 00:00:00.000;29722;282;6;2221,4493;83091,6136;2011;8
44094;2011-08-01 00:00:00.000;2011-08-13 00:00:00.000;2011-08-08 00:00:00.000;29711;282;6;122,3996;4594,0664;2011;8
44103;2011-08-01 00:00:00.000;2011-08-13 00:00:00.000;2011-08-08 00:00:00.000;29577;278;6;114,3159;4294,4704;2011;8
44104;2011-08-01 00:00:00.000;2011-08-13 00:00:00.000;2011-08-08 00:00:00.000;29755;278;6;122,3996;4594,0664;2011;8
44111;2011-08-01 00:00:00.000;2011-08-13 00:00:00.000;2011-08-08 00:00:00.000;29740;282;6;349,3315;13108,5134;2011;8
44112;2011-08-01 00:00:00.000;2011-08-13 00:00:00.000;2011-08-08 00:00:00.000;29649;278;6;973,3471;36532,9619;2011;8
44282;2011-08-31 00:00:00.000;2011-09-12 00:00:00.000;2011-09-07 00:00:00.000;29734;282;6;1212,5851;45433,9629;2011;8
44283;2011-08-31 00:00:00.000;2011-09-12 00:00:00.000;2011-09-07 00:00:00.000;29994;282;6;1321,0332;49297,608;2011;8
44288;2011-08-31 00:00:00.000;2011-09-12 00:00:00.000;2011-09-07 00:00:00.000;29614;282;6;1319,8096;49346,3436;2011;8
44294;2011-08-31 00:00:00.000;2011-09-12 00:00:00.000;2011-09-07 00:00:00.000;30067;282;6;1864,5878;69900,1415;2011;8
44295;2011-08-31 00:00:00.000;2011-09-12 00:00:00.000;2011-09-07 00:00:00.000;29596;282;6;284,0674;10668,6138;2011;8
44298;2011-08-31 00:00:00.000;2011-09-12 00:00:00.000;2011-09-07 00:00:00.000;29824;278;6;830,2234;31153,3874;2011;8
44300;2011-08-31 00:00:00.000;2011-09-12 00:00:00.000;2011-09-07 00:00:00.000;29761;278;6;233,8728;8785,1473;2011;8
44484;2011-10-01 00:00:00.000;2011-10-13 00:00:00.000;2011-10-08 00:00:00.000;29620;282;6;245,4299;9215,6816;2011;10
44485;2011-10-01 00:00:00.000;2011-10-13 00:00:00.000;2011-10-08 00:00:00.000;30058;278;6;121,4996;4560,2864;2011;10
44486;2011-10-01 00:00:00.000;2011-10-13 00:00:00.000;2011-10-08 00:00:00.000;29548;278;6;18,2552;680,0689;2011;10
44490;2011-10-01 00:00:00.000;2011-10-13 00:00:00.000;2011-10-08 00:00:00.000;29539;278;6;101,5917;3816,3832;2011;10
